fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
48,滨,2.227538592373576,3.7554741034899015,11.076982518080625,5.985194374398525,0.620515211684388
57,聊城,2.52393728879193,3.676542862035566,10.654685381101155,6.471477087830584,0.6321728801391994
18,咸阳,2.608937203370573,3.8922722753230037,10.880671670372312,6.127450946452837,0.7321514070688823
13,吉林,2.3027833213440183,3.5620464491847135,10.610977925553593,6.0191647059804305,0.8307455217348618
30,廊坊,1.8789257504140544,3.513706284679989,11.065774586675374,6.180387036252132,0.8473828517893689
44,汉中,2.7012305653772475,3.7770051226118166,10.722542357139979,5.942415242429604,0.8762434200541774
37,晋中,2.052648598075857,3.8275542505240403,10.672931958189983,5.813073007878706,0.9356306027382083
79,鞍山,1.781456336861012,3.727814436459011,10.802884594466056,5.827993543221986,0.9502346496969861
54,石家庄,2.030560763953551,3.492478423947261,10.894612354111645,6.933951722973121,0.9984338503525633
24,安康,2.4925810638663566,3.8615762834597387,10.67780884747732,5.716063888320748,1.0618510745121323
55,秦皇岛,2.5614968922714656,3.4939736296871793,10.867083193724405,5.705446774625853,1.081359732111265
58,菏泽,2.2741439563484334,3.798804365401014,10.538142285589421,6.933220597738123,1.0854627490526252
70,邯郸,2.2722577418642147,3.792201111751831,10.519999871758474,6.965965510299844,1.1368989986905387
61,衡水,2.6403266100839415,3.555789405926128,10.463384521727594,6.12564024633766,1.1461000036225837
26,宝鸡,2.07887996339333,4.073490658216185,11.031555397700007,5.931626306368999,1.1884096750864586
59,营口,2.0717085303427765,3.7978286122029985,10.923343649473141,5.440512055529199,1.2194445146868655
47,渭南,2.892078794878504,3.64053557830359,10.470303512718338,6.297708440610259,1.230989850170333
35,承德,2.9876059533315806,3.5243589173879877,10.660515583696904,5.945578668131861,1.2905841032233223
5,乌兰察布,2.7813926596333123,3.692249992820934,10.603383888455626,5.594600427891794,1.3319000426354275
34,忻,2.0625104174577653,3.808222137716922,10.388545195394327,5.727043748116411,1.3828738022380094
