fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
45,沈阳,1.4733026550975596,3.550220815678473,11.243913878596894,6.625067044727913,0.6229284105874932
30,廊坊,1.8789257504140544,3.513706284679989,11.065774586675374,6.180387036252132,1.4828000341420533
53,石家庄,2.030560763953551,3.492478423947261,10.894612354111645,6.933951722973121,1.5568973832807702
11,包头,1.2365878247731608,3.7019955840300716,11.507234637736266,5.413873952516539,1.966394412523491
47,滨,2.227538592373576,3.7554741034899015,11.076982518080625,5.985194374398525,2.0483526852328984
79,鞍山,1.781456336861012,3.727814436459011,10.802884594466056,5.827993543221986,2.0586667697634375
61,西宁,1.3461344106126236,3.4747868689818384,10.913647113230635,5.341718762526804,2.2073722866689063
42,榆林,1.8253668486720835,4.151072283952731,11.65851805162808,5.95270297562362,2.3461633313873014
26,宝鸡,2.07887996339333,4.073490658216185,11.031555397700007,5.931626306368999,2.3934109284776506
57,菏泽,2.2741439563484334,3.798804365401014,10.538142285589421,6.933220597738123,2.4182468096644865
70,邯郸,2.2722577418642147,3.792201111751831,10.519999871758474,6.965965510299844,2.4402482396380782
56,聊城,2.52393728879193,3.676542862035566,10.654685381101155,6.471477087830584,2.4671826126759333
37,晋中,2.052648598075857,3.8275542505240403,10.672931958189983,5.813073007878706,2.4746373281021286
13,吉林,2.3027833213440183,3.5620464491847135,10.610977925553593,6.0191647059804305,2.480737686087041
58,营口,2.0717085303427765,3.7978286122029985,10.923343649473141,5.440512055529199,2.5213776058495148
38,朔,1.7287733273696344,3.6714590829261646,11.03935306336638,5.095913764105448,2.5443861123388936
15,吕梁,1.5110852461443047,4.098816058102946,10.57077292433584,5.9756075365807035,2.592429537789699
18,咸阳,2.608937203370573,3.8922722753230037,10.880671670372312,6.127450946452837,2.6076212609589247
54,秦皇岛,2.5614968922714656,3.4939736296871793,10.867083193724405,5.705446774625853,2.645285346876015
9,保定,2.4736953563032356,3.607508824823209,10.381353702694131,7.099611587843825,2.7497768003672043
